country,region,region_code,lat,lon,population,pop_source,temp_c,humidity_pct,climate_source,climate_flag,avg_income,income_note,direct_intent,unaware_intent,demand_note,s_nopong,s_woohoo,s_kindly,s_blackchicken,s_noosa,s_native,s_schmidts,z_stability,comp_note
AU,New South Wales,NSW,-32.0,147.0,8624500,ABS ERP 30 Sep 2025,22.8,66,BOM annual normals (capital-city proxy),approximate,58909,ABS Personal Income Australia 2022-23,96,63,Trends UI 2026-06-15,2,3,2,1,1,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
AU,Victoria,VIC,-36.8,144.5,7104300,ABS ERP 30 Sep 2025,20.4,64,BOM annual normals (capital-city proxy),approximate,57907,ABS Personal Income Australia 2022-23,95,67,Trends UI 2026-06-15,2,2,2,1,1,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
AU,Queensland,QLD,-22.5,144.4,5692600,ABS ERP 30 Sep 2025,28.0,67,BOM annual normals (capital-city proxy),approximate,56708,ABS Personal Income Australia 2022-23,95,64,Trends UI 2026-06-15,2,2,2,1,2,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
AU,South Australia,SA,-30.0,135.5,1908200,ABS ERP 30 Sep 2025,22.4,55,BOM annual normals (capital-city proxy),approximate,55782,ABS Personal Income Australia 2022-23,97,59,Trends UI 2026-06-15,2,2,2,2,1,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
AU,Western Australia,WA,-25.5,122.0,3061700,ABS ERP 30 Sep 2025,25.4,56,BOM annual normals (capital-city proxy),approximate,62207,ABS Personal Income Australia 2022-23,98,62,Trends UI 2026-06-15,2,2,2,1,1,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
AU,Tasmania,TAS,-42.0,146.5,576700,ABS ERP 30 Sep 2025,17.3,67,BOM annual normals (capital-city proxy),approximate,53479,ABS Personal Income Australia 2022-23,90,55,Trends UI 2026-06-15,2,2,2,1,1,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
AU,Northern Territory,NT,-19.5,133.5,265500,ABS ERP 30 Sep 2025,32.0,69,BOM annual normals (capital-city proxy),approximate,66831,ABS Personal Income Australia 2022-23,100,100,small-population inflation likely,2,1,2,1,1,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
AU,Australian Capital Territory,ACT,-35.5,149.1,486200,ABS ERP 30 Sep 2025,20.0,60,BOM annual normals (capital-city proxy),approximate,75643,ABS Personal Income Australia 2022-23,81,58,Trends UI 2026-06-15,2,2,2,1,1,1,2,0.95,National chains (Woolworths/Coles/Chemist Warehouse) + indie home-state texture
